rowType,code,name,parentCode,unit,priceA,priceB,directoryCategory,navigation,branch,operation,patientOrToothCondition,quantityRule,exclusion,priceEvidenceLevel,clinicalEvidenceLevel,hospitalConfirmation,clinicalStatus,sourcePage
"main","013105010130000","前牙形态修复费","","牙","自主定价","自主定价","牙体牙髓","牙体保存、充填与预防","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","7"
"main","013105010140000","窝沟封闭费","","牙","35","35","牙体牙髓","牙体保存、充填与预防","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","7"
"main","013105010150000","氟防龋治疗费","","牙","5","5","牙体牙髓","牙体保存、充填与预防","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","7"
"main","013105010160000","牙脱敏治疗费","","牙","12","12","牙体牙髓","牙体保存、充填与预防","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","7"
"main","013105010170000","牙齿内漂白费","","牙","自主定价","自主定价","牙体牙髓","牙体保存、充填与预防","","","{}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","7"
"main","013105010180000","全口牙齿漂白费","","次","自主定价","自主定价","牙体牙髓","牙体保存、充填与预防","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","7"
"main","013105010190000","预成冠修复费","","牙","300","300","牙体牙髓","牙体保存、充填与预防","","","{""limit"":""未成年人""}","按牙及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","7"
"main","013105010200000","颌间结扎费","","单颌","310","310","牙体牙髓","其他口腔外科","","","{}","按单颌及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","7"
"main","013105010210000","颌间结扎拆除费","","单颌","65","65","牙体牙髓","其他口腔外科","","","{}","按单颌及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","7"
"main","013105010220000","口腔无回吸辅助治疗费","","次","自主定价","自主定价","牙周","跨治疗辅助项目","","","{}","按次及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","8"
"main","013105010230000","咬合板治疗费","","每件","2000","2000","牙周","咬合与口腔功能治疗","","","{}","按每件及实际实施数量","","A","C","是","仅目录；临床规则未审，不可开单","8"
